inputs_length,code_length
53,62
40,56
65,92
56,97
29,57
75,86
125,179
66,166
47,63
27,74
91,149
76,105
71,85
96,85
62,84
63,84
95,72
113,90
64,58
88,86
58,69
65,172
77,111
113,83
86,77
51,55
54,66
74,78
94,166
85,89
91,149
48,118
94,94
76,197
71,116
77,112
101,110
49,89
59,120
61,53
70,61
85,82
66,73
73,157
86,107
36,74
63,67
82,148
81,136
70,120
128,89
42,115
60,61
58,72
70,89
89,210
61,121
37,57
45,59
99,92
67,76
67,143
43,72
34,52
82,58
112,100
45,79
64,67
70,98
58,89
40,66
69,80
84,104
79,74
55,133
29,51
65,134
81,116
96,111
117,76
59,82
132,40
75,89
43,94
35,67
40,77
109,142
86,80
63,78
80,74
56,97
33,57
49,95
71,94
66,247
77,126
36,61
37,50
85,88
75,86
41,75
55,95
50,51
81,142
67,185
54,51
129,86
57,97
65,76
51,75
40,64
38,50
49,112
42,63
37,68
69,106
74,111
70,67
93,96
45,81
49,42
52,81
81,133
75,91
109,96
77,120
53,82
54,63
64,81
32,70
63,84
99,88
72,125
59,95
105,199
83,75
55,60
49,73
76,90
59,66
61,67
67,164
70,46
97,119
54,75
34,61
56,144
97,145
36,51
42,93
48,81
84,75
36,46
61,77
43,47
43,58
90,169
92,154
42,53
34,92
46,53
91,59
43,53
53,71
58,137
52,125
98,104
77,65
108,153
66,60
72,68
58,96
79,81
93,103
59,49
71,80
83,102
79,92
44,61
51,71
64,77
94,88
59,64
72,124
64,93
85,146
46,65
57,189
53,69
61,103
48,83
39,74
87,72
65,114
57,48
66,118
64,96
44,71
74,44
66,110
55,124
84,108
53,98
46,71
63,71
70,78
48,56
80,83
68,79
39,80
77,61
71,109
106,135
53,118
86,68
59,42
66,81
53,71
67,93
70,149
85,93
72,65
42,66
52,86
55,74
49,62
35,84
92,164
72,117
37,60
100,77
32,65
61,88
52,62
56,75
81,111
61,91
62,56
39,48
55,138
67,118
59,103
53,64
47,74
86,80
60,85
62,76
59,79
61,106
79,70
40,81
52,117
46,72
74,96
45,59
74,57
59,68
107,49
63,63
130,91
53,120
37,54
54,65
60,124
89,64
113,114
74,95
43,72
52,119
76,102
52,57
51,75
41,71
88,136
61,106
38,42
69,65
43,55
63,88
96,68
75,119
91,143
79,65
56,85
112,106
41,73
114,110
64,127
53,79
89,117
84,68
45,91
85,135
31,106
74,125
67,100
42,69
95,173
78,53
51,64
83,99
61,86
63,79
66,107
81,75
82,46
53,90
68,58
56,75
140,71
88,110
56,75
64,89
56,63
101,62
81,47
86,101
104,117
98,69
49,62
43,60
78,80
46,68
50,65
106,99
40,78
91,95
56,51
53,95
79,59
79,118
63,58
65,103
75,79
62,126
42,63
102,92
66,111
94,76
106,170
97,116
61,76
35,46
106,121
55,69
59,72
72,57
74,85
92,89
80,96
48,64
52,69
81,81
80,173
32,48
70,40
72,90
95,64
71,122
64,77
109,88
121,66
75,109
43,77
70,69
92,97
83,50
45,72
72,73
51,77
56,50
55,70
48,103
60,61
100,80
62,64
44,61
90,123
48,102
54,73
63,117
45,64
84,72
50,93
51,74
61,100
39,74
86,97
35,79
31,83
76,74
92,147
51,74
86,96
86,69
75,108
56,67
54,75
45,93
55,82
77,169
51,82
78,35
47,77
41,78
58,95
51,66
61,107
99,134
68,147
80,75
62,63
79,118
72,90
54,75
86,47
133,93
73,92
93,114
118,152
49,105
68,80
35,121
39,66
87,79
104,204
66,46
100,93
77,99
123,154
76,82
59,81
72,58
39,61
45,73
58,88
53,95
143,95
78,103
48,86
109,94
88,122
53,54
34,61
91,109
61,69
44,51
39,62
115,65
39,62
55,88
87,48
141,115
118,139
69,48
68,119
54,67
81,128
46,60
67,56
55,73
38,55
42,47
46,88
57,81
62,78
71,119
54,84
183,75
34,65
73,231
