inputs_length,code_length
53,60
40,54
65,90
56,95
29,55
75,84
125,177
66,164
47,61
27,72
91,147
76,103
71,83
96,83
62,82
63,82
95,70
113,88
64,56
88,84
58,67
65,170
77,109
113,81
86,75
51,53
54,64
74,76
94,164
85,87
91,147
48,116
94,92
76,195
71,114
77,110
101,108
49,87
59,118
61,51
70,59
85,80
66,71
73,155
86,105
36,72
63,65
82,146
81,134
70,118
128,87
42,113
60,59
58,70
70,87
89,208
61,119
37,55
45,57
99,90
67,74
67,141
43,70
34,50
82,56
112,98
45,77
64,65
70,96
58,87
40,64
69,78
84,102
79,72
55,131
29,49
65,132
81,114
96,109
117,74
59,80
132,38
75,87
43,92
35,65
40,75
109,140
86,78
63,76
80,72
56,95
33,55
49,93
71,92
66,246
77,124
36,59
37,48
85,86
75,84
41,73
55,93
50,49
81,140
67,183
54,49
129,84
57,95
65,74
51,73
40,62
38,48
49,110
42,61
37,66
69,104
74,109
70,65
93,94
45,79
49,40
52,79
81,131
75,89
109,94
77,118
53,80
54,61
64,79
32,68
63,82
99,86
72,123
59,93
105,197
83,73
55,58
49,71
76,88
59,64
61,65
67,162
70,44
97,117
54,73
34,59
56,142
97,143
36,49
42,91
48,79
84,73
36,44
61,75
43,45
43,56
90,167
92,152
42,51
34,90
46,51
91,57
43,51
53,69
58,135
52,123
98,102
77,63
108,151
66,58
72,66
58,94
79,79
93,101
59,47
71,78
83,100
79,90
44,59
51,69
64,75
94,86
59,62
72,122
64,91
85,144
46,63
57,187
53,67
61,101
48,81
39,72
87,70
65,112
57,46
66,116
64,94
44,69
74,42
66,108
55,122
84,106
53,96
46,69
63,69
70,76
48,54
80,81
68,77
39,78
77,59
71,107
106,133
53,116
86,66
59,40
66,79
53,69
67,91
70,147
85,91
72,63
42,65
52,84
55,72
49,60
35,82
92,162
72,115
37,58
100,75
32,63
61,86
52,60
56,73
81,109
61,89
62,54
39,46
55,136
67,116
59,101
53,62
47,72
86,78
60,83
62,74
59,77
61,104
79,68
40,79
52,115
46,70
74,94
45,57
74,55
59,66
107,47
63,61
130,89
53,118
37,52
54,63
60,122
89,62
113,112
74,93
43,70
52,117
76,100
52,55
51,73
41,69
88,134
61,104
38,40
69,63
43,53
63,86
96,66
75,117
91,141
79,63
56,83
112,104
41,71
114,108
64,125
53,77
89,115
84,66
45,89
85,133
31,104
74,125
67,98
42,67
95,171
78,51
51,62
83,97
61,84
63,77
66,105
81,73
82,44
53,88
68,56
56,73
140,69
88,108
56,73
64,87
